floors,total_floors,room_size,bts_distance,mall_distance,highway_distance,common_price,land_price,poom_price
0.1481481481,0.03846153846,0.07,0.07736389685,0.4137931034,0.8235294118,0.1758241758,1,0.0243902439
0.1851851852,0.03846153846,0.07,0.02005730659,0.6724137931,0,0.2307692308,0.297979798,0.1289198606
0.1481481481,0.1153846154,0.34,0.2836676218,2.568965517,0.1764705882,0.2307692308,0.3434343434,0.1986062718
0.5925925926,1.038461538,0.21,0,0,0,0.1758241758,0.2424242424,0.1637630662
0.1851851852,0,0.31,0.02578796562,0.1551724138,0.05882352941,0.2307692308,0.4444444444,0.1753774681
0.2592592593,0.7307692308,0.20,0.004011461318,0.008620689655,0.3764705882,0.2747252747,0.7474747475,0.3704994193
0.07407407407,0.03846153846,0.38,0.007449856734,0.05172413793,0.04117647059,0.3461538462,1,0.4192799071
0.5925925926,0.8846153846,1.00,0.03438395415,0.5689655172,0,0.8131868132,0.164989899,1
0.4074074074,0.5769230769,0.25,0.007163323782,0.2068965517,0.3529411765,0.4093406593,0.3838383838,0.7677119628
0.1111111111,0.03846153846,0.01,0.1346704871,0.7068965517,1,0.117032967,0,0.006968641115
0.2592592593,0.8846153846,0.18,0.02865329513,0.1379310345,0.4058823529,0.1821428571,0.08937878788,0.1173054588
1,0.8846153846,0.11,0.01146131805,1,0.3529411765,0.2596153846,0.213020202,0.1695702671
0.2592592593,0.03846153846,0.11,0.07449856734,0.4827586207,0.4411764706,0,0.5154637374,0.04181184669
0.03703703704,0.5769230769,0.08,0.06017191977,0.3275862069,0.2529411765,0.2348901099,0.5154637374,0.1869918699
0.3333333333,0.5769230769,0.20,0.05730659026,0.3275862069,0.2529411765,0.3214285714,0.5154637374,0.3717770035
0.7777777778,0.5769230769,0.67,0.05730659026,0.3275862069,0.2529411765,0.6799450549,0.5154637374,0.6051103368
0.3703703704,1,0.20,0.1891117479,0.1551724138,0.3352941176,0.2445054945,0.1565656566,0.1869918699
0.1851851852,1,0.48,0.1891117479,0.1551724138,0.5294117647,0.2445054945,0.1352525253,0.3122415796
0.2592592593,0.03846153846,0.08,0.02578796562,0.2413793103,0.7058823529,0.182967033,0.01795959596,0.0243902439
0.1481481481,0.03846153846,0.14,0.02578796562,0.2413793103,0.7058823529,0.2195054945,0.06192929293,0.07781649245
0.3703703704,0.6538461538,0.33,0.2779369628,0.275862069,0.6823529412,0.1758241758,0.5154637374,0
0.2222222222,0.4230769231,0.08,0.5702005731,0.1206896552,0.3176470588,1,0.5154637374,0.05923344948
0,0.03846153846,0.20,0.05444126074,0.5,0.4117647059,0.1758241758,0.3434343434,0.05923344948
0.2222222222,0.8846153846,0.10,0.03438395415,0.2413793103,0.5411764706,0.3090659341,0.2621212121,0.1858304297
0.07407407407,0.03846153846,0.00,0.02865329513,0.6379310345,0.2235294118,0.2032967033,0.1368181818,0.05226480836
0.1111111111,0.03846153846,0.02,0.005730659026,0.2413793103,0.2588235294,0.1854395604,0.1090909091,0.03484320557
0.3333333333,0.7307692308,0.02,0.005730659026,0,0.8058823529,0.1222527473,0.1666666667,0.1056910569
0.07407407407,0.03846153846,0.07,0.06303724928,0.1379310345,0.2411764706,0.3162087912,0.1717171717,0.06968641115
0.07407407407,0.03846153846,0.16,0.11747851,0.3448275862,0.3529411765,0.0521978022,0.1919191919,0.01161440186
0.2962962963,0.5384615385,0.63,0,0.2068965517,0.3235294118,0.04945054945,0.1666666667,0.1173054588
0.3333333333,0.8846153846,0.21,1,0.2413793103,0.09411764706,0.0521978022,0.4696969697,0.2334494774
0.1481481481,0.03846153846,0.10,0.1977077364,0.8448275862,0,0.0521978022,0.2424242424,0.03832752613
0.1481481481,0.5384615385,0.07,0.01289398281,0.5,0.3941176471,0.008241758242,0.6212121212,0.08130081301